entity,code,parent_code,payload
project,PRJ_DAKAR_2026,,"{""name"":""Modernisation de l'unité de Diamniadio"",""site"":""SITE_DAKAR"",""description"":""Renforcement de la capacité de production et fiabilisation des équipements."",""type"":""PRODUCTION"",""subtype"":""MIXTE"",""city"":""Diamniadio"",""address"":""Zone industrielle de Diamniadio"",""start_date"":""2026-04-30"",""end_date"":""2026-10-27"",""duration_days"":180,""contract_amount"":485000000,""budget"":412000000,""status"":""EN_COURS"",""manager"":""USR_ABDOU""}"
project,PRJ_DEPOT_THIES,,"{""name"":""Optimisation logistique du dépôt de Thiès"",""site"":""SITE_THIES"",""description"":""Réorganisation des flux de stockage et réduction des délais de chargement."",""type"":""CHANTIER"",""subtype"":""TRANSPORT"",""city"":""Thiès"",""address"":""Zone industrielle de Thiès"",""start_date"":""2026-06-14"",""end_date"":""2026-10-12"",""duration_days"":120,""contract_amount"":175000000,""budget"":148500000,""status"":""EN_COURS"",""manager"":""USR_NDEYE""}"
team,TEAM_PROD,,"{""name"":""Équipe Production A"",""department"":""Production"",""site"":""SITE_DAKAR"",""manager"":""USR_AWA"",""description"":""Équipe Tefix dédiée au service production.""}"
team,TEAM_MAINT,,"{""name"":""Équipe Maintenance"",""department"":""Maintenance"",""site"":""SITE_DAKAR"",""manager"":""USR_IBRAHIMA"",""description"":""Équipe Tefix dédiée au service maintenance.""}"
team,TEAM_LOG,,"{""name"":""Équipe Logistique"",""department"":""Logistique"",""site"":""SITE_THIES"",""manager"":""USR_KHADY"",""description"":""Équipe Tefix dédiée au service logistique.""}"
team_member,TM_AWA,,"{""team"":""TEAM_PROD"",""user"":""USR_AWA"",""role"":""MANAGER""}"
team_member,TM_MAMADOU,,"{""team"":""TEAM_PROD"",""user"":""USR_MAMADOU"",""role"":""LEAD""}"
team_member,TM_FATOUMATA,,"{""team"":""TEAM_PROD"",""user"":""USR_FATOUMATA"",""role"":""SUPERVISOR""}"
team_member,TM_MARIAMA,,"{""team"":""TEAM_PROD"",""user"":""USR_MARIAMA"",""role"":""MEMBER""}"
team_member,TM_IBRAHIMA,,"{""team"":""TEAM_MAINT"",""user"":""USR_IBRAHIMA"",""role"":""LEAD""}"
team_member,TM_CHEIKH,,"{""team"":""TEAM_MAINT"",""user"":""USR_CHEIKH"",""role"":""MEMBER""}"
team_member,TM_ABDOU,,"{""team"":""TEAM_MAINT"",""user"":""USR_ABDOU"",""role"":""SUPERVISOR""}"
team_member,TM_KHADY,,"{""team"":""TEAM_LOG"",""user"":""USR_KHADY"",""role"":""LEAD""}"
team_member,TM_OUSMANE,,"{""team"":""TEAM_LOG"",""user"":""USR_OUSMANE"",""role"":""MEMBER""}"
team_member,TM_NDEYE,,"{""team"":""TEAM_LOG"",""user"":""USR_NDEYE"",""role"":""SUPERVISOR""}"
team_kpi,KPI_PROD_TRS,,"{""team"":""TEAM_PROD"",""name"":""TRS moyen"",""category"":""efficiency"",""target"":85,""current"":81.6,""unit"":""%"",""trend"":3.2,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_PROD_QUAL,,"{""team"":""TEAM_PROD"",""name"":""Taux de conformité"",""category"":""quality"",""target"":98,""current"":97.2,""unit"":""%"",""trend"":1.1,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_PROD_VOL,,"{""team"":""TEAM_PROD"",""name"":""Volume journalier"",""category"":""productivity"",""target"":420,""current"":397,""unit"":""tonnes"",""trend"":4.5,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_MAINT_DISPO,,"{""team"":""TEAM_MAINT"",""name"":""Disponibilité des engins"",""category"":""efficiency"",""target"":92,""current"":89.4,""unit"":""%"",""trend"":2.0,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_MAINT_MTTR,,"{""team"":""TEAM_MAINT"",""name"":""Interventions sous 4 heures"",""category"":""delivery"",""target"":90,""current"":86,""unit"":""%"",""trend"":5.4,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_MAINT_SECUR,,"{""team"":""TEAM_MAINT"",""name"":""Interventions sans incident"",""category"":""safety"",""target"":100,""current"":100,""unit"":""%"",""trend"":0,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_LOG_SERVICE,,"{""team"":""TEAM_LOG"",""name"":""Taux de service"",""category"":""delivery"",""target"":96,""current"":94.5,""unit"":""%"",""trend"":2.7,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_LOG_DELAI,,"{""team"":""TEAM_LOG"",""name"":""Chargements dans le délai"",""category"":""productivity"",""target"":95,""current"":91.8,""unit"":""%"",""trend"":3.8,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_kpi,KPI_LOG_COUT,,"{""team"":""TEAM_LOG"",""name"":""Coût logistique par tonne"",""category"":""cost"",""target"":5200,""current"":5450,""unit"":""F CFA"",""trend"":-1.9,""start_date"":""2026-07-01"",""end_date"":""2026-08-13""}"
team_evaluation,EVAL_1,,"{""team"":""TEAM_PROD"",""type"":""monthly"",""period_start"":""2026-05-01"",""period_end"":""2026-06-30"",""scores"":[8.6,9.0,8.2,8.7,7.8,8.4],""status"":""VALIDATED"",""evaluator"":""USR_ABDOU"",""notes"":""Résultats solides avec une progression régulière sur les objectifs prioritaires."",""recommendations"":""Maintenir les rituels quotidiens et traiter les écarts au fil de l'eau.""}"
team_evaluation,EVAL_2,,"{""team"":""TEAM_MAINT"",""type"":""monthly"",""period_start"":""2026-05-01"",""period_end"":""2026-06-30"",""scores"":[8.1,8.8,8.4,8.5,7.9,8.0],""status"":""VALIDATED"",""evaluator"":""USR_ABDOU"",""notes"":""Résultats solides avec une progression régulière sur les objectifs prioritaires."",""recommendations"":""Maintenir les rituels quotidiens et traiter les écarts au fil de l'eau.""}"
team_evaluation,EVAL_3,,"{""team"":""TEAM_LOG"",""type"":""monthly"",""period_start"":""2026-05-01"",""period_end"":""2026-06-30"",""scores"":[8.0,8.4,7.9,8.8,7.5,8.2],""status"":""VALIDATED"",""evaluator"":""USR_NDEYE"",""notes"":""Résultats solides avec une progression régulière sur les objectifs prioritaires."",""recommendations"":""Maintenir les rituels quotidiens et traiter les écarts au fil de l'eau.""}"
team_task,TT_PROD_PLAN,,"{""team"":""TEAM_PROD"",""member"":""TM_MAMADOU"",""title"":""Préparer le planning de production hebdomadaire"",""description"":""Tâche opérationnelle Tefix : préparer le planning de production hebdomadaire."",""status"":""IN_PROGRESS"",""priority"":""HIGH"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":6,""actual_hours"":3}"
team_task,TT_PROD_QUAL,,"{""team"":""TEAM_PROD"",""member"":""TM_FATOUMATA"",""title"":""Analyser les non-conformités du lot B26-071"",""description"":""Tâche opérationnelle Tefix : analyser les non-conformités du lot b26-071."",""status"":""ASSIGNED"",""priority"":""HIGH"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":5,""actual_hours"":0}"
team_task,TT_PROD_NET,,"{""team"":""TEAM_PROD"",""member"":""TM_MARIAMA"",""title"":""Nettoyer la ligne avant changement de série"",""description"":""Tâche opérationnelle Tefix : nettoyer la ligne avant changement de série."",""status"":""COMPLETED"",""priority"":""MEDIUM"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":2,""actual_hours"":2}"
team_task,TT_MAINT_PREV,,"{""team"":""TEAM_MAINT"",""member"":""TM_IBRAHIMA"",""title"":""Réaliser la maintenance préventive du concasseur"",""description"":""Tâche opérationnelle Tefix : réaliser la maintenance préventive du concasseur."",""status"":""IN_PROGRESS"",""priority"":""URGENT"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":8,""actual_hours"":5}"
team_task,TT_MAINT_STOCK,,"{""team"":""TEAM_MAINT"",""member"":""TM_CHEIKH"",""title"":""Contrôler le stock de filtres et courroies"",""description"":""Tâche opérationnelle Tefix : contrôler le stock de filtres et courroies."",""status"":""ASSIGNED"",""priority"":""MEDIUM"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":3,""actual_hours"":0}"
team_task,TT_LOG_INV,,"{""team"":""TEAM_LOG"",""member"":""TM_KHADY"",""title"":""Effectuer l'inventaire tournant de la zone B"",""description"":""Tâche opérationnelle Tefix : effectuer l'inventaire tournant de la zone b."",""status"":""IN_PROGRESS"",""priority"":""HIGH"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":6,""actual_hours"":2.5}"
team_task,TT_LOG_ROUTE,,"{""team"":""TEAM_LOG"",""member"":""TM_OUSMANE"",""title"":""Préparer la tournée Dakar–Thiès"",""description"":""Tâche opérationnelle Tefix : préparer la tournée dakar–thiès."",""status"":""COMPLETED"",""priority"":""MEDIUM"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":2,""actual_hours"":2}"
team_task,TT_LOG_DOC,,"{""team"":""TEAM_LOG"",""member"":""TM_NDEYE"",""title"":""Mettre à jour les bons de livraison"",""description"":""Tâche opérationnelle Tefix : mettre à jour les bons de livraison."",""status"":""ASSIGNED"",""priority"":""LOW"",""due_date"":""2026-07-17T17:00:00+00:00"",""estimated_hours"":4,""actual_hours"":0}"
machine,ENG_CHARGEUSE_01,,"{""name"":""Chargeuse Caterpillar 950 GC"",""type"":""ENGINE"",""serial_number"":""TFX-ENG-950-001"",""status"":""ACTIVE"",""workplace"":""WP_CONCASSAGE"",""ideal_cycle_time"":38.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,ENG_PELLE_01,,"{""name"":""Pelle hydraulique Komatsu PC210"",""type"":""ENGINE"",""serial_number"":""TFX-ENG-PC210-002"",""status"":""ACTIVE"",""workplace"":""WP_CONCASSAGE"",""ideal_cycle_time"":32.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,ENG_CAMION_01,,"{""name"":""Camion benne Sinotruk HOWO"",""type"":""ENGINE"",""serial_number"":""TFX-ENG-HOWO-003"",""status"":""DEGRADED"",""workplace"":""WP_CHARGEMENT"",""ideal_cycle_time"":55.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,ENG_CHARIOT_01,,"{""name"":""Chariot élévateur Toyota 8FD"",""type"":""ENGINE"",""serial_number"":""TFX-ENG-8FD-004"",""status"":""ACTIVE"",""workplace"":""WP_STOCK"",""ideal_cycle_time"":45.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,MAC_CONCASSEUR,,"{""name"":""Concasseur primaire Metso C96"",""type"":""MACHINE"",""serial_number"":""TFX-MAC-C96-101"",""status"":""ACTIVE"",""workplace"":""WP_CONCASSAGE"",""ideal_cycle_time"":18.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,MAC_MALAXEUR,,"{""name"":""Malaxeur Sicoma 2 m³"",""type"":""MACHINE"",""serial_number"":""TFX-MAC-SIC-102"",""status"":""ACTIVE"",""workplace"":""WP_BETON"",""ideal_cycle_time"":75.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,MAC_POMPE,,"{""name"":""Pompe à béton Putzmeister"",""type"":""MACHINE"",""serial_number"":""TFX-MAC-PUT-103"",""status"":""MAINTENANCE"",""workplace"":""WP_BETON"",""ideal_cycle_time"":90.0,""description"":""Équipement suivi dans le parc Tefix.""}"
machine,MAC_GROUPE,,"{""name"":""Groupe électrogène Cummins 250 kVA"",""type"":""MACHINE"",""serial_number"":""TFX-MAC-CUM-104"",""status"":""ACTIVE"",""workplace"":""WP_MAINT"",""ideal_cycle_time"":0.0,""description"":""Équipement suivi dans le parc Tefix.""}"
product,PROD_GRAVIER,,"{""name"":""Gravier 5/15"",""version"":""2026"",""family"":""Granulats"",""description"":""Produit Tefix — Gravier 5/15."",""workplace"":""WP_CONCASSAGE""}"
product,PROD_SABLE,,"{""name"":""Sable concassé 0/5"",""version"":""2026"",""family"":""Granulats"",""description"":""Produit Tefix — Sable concassé 0/5."",""workplace"":""WP_CONCASSAGE""}"
product,PROD_BETON,,"{""name"":""Béton C25/30"",""version"":""2026"",""family"":""Béton prêt à l'emploi"",""description"":""Produit Tefix — Béton C25/30."",""workplace"":""WP_BETON""}"
work_order,OF-TFX-26071,,"{""reference"":""OF-TFX-26071"",""product"":""PROD_GRAVIER"",""workplace"":""WP_CONCASSAGE"",""planned_quantity"":2400,""actual_quantity"":2185}"
work_order,OF-TFX-26072,,"{""reference"":""OF-TFX-26072"",""product"":""PROD_SABLE"",""workplace"":""WP_CONCASSAGE"",""planned_quantity"":1800,""actual_quantity"":1760}"
work_order,OF-TFX-26073,,"{""reference"":""OF-TFX-26073"",""product"":""PROD_BETON"",""workplace"":""WP_BETON"",""planned_quantity"":850,""actual_quantity"":612}"
work_order,OF-TFX-26074,,"{""reference"":""OF-TFX-26074"",""product"":""PROD_GRAVIER"",""workplace"":""WP_CONCASSAGE"",""planned_quantity"":2600,""actual_quantity"":940}"
work_order,OF-TFX-26075,,"{""reference"":""OF-TFX-26075"",""product"":""PROD_SABLE"",""workplace"":""WP_CONCASSAGE"",""planned_quantity"":1500,""actual_quantity"":420}"
work_order,OF-TFX-26076,,"{""reference"":""OF-TFX-26076"",""product"":""PROD_BETON"",""workplace"":""WP_BETON"",""planned_quantity"":720,""actual_quantity"":0}"
operation,OP-TFX-001,,"{""work_order"":""OF-TFX-26071"",""name"":""Production lot OF-TFX-26071"",""started_at"":""2026-07-08T07:00:00+00:00"",""ended_at"":""2026-07-08T15:30:00+00:00"",""is_blocking"":false}"
mes_task,TASK-TFX-001-A,,"{""operation"":""OP-TFX-001"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-08T07:00:00+00:00"",""ended_at"":""2026-07-08T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-001-B,,"{""operation"":""OP-TFX-001"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-08T07:30:00+00:00"",""ended_at"":""2026-07-08T15:30:00+00:00"",""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
operation,OP-TFX-002,,"{""work_order"":""OF-TFX-26072"",""name"":""Production lot OF-TFX-26072"",""started_at"":""2026-07-09T07:00:00+00:00"",""ended_at"":""2026-07-09T15:30:00+00:00"",""is_blocking"":false}"
mes_task,TASK-TFX-002-A,,"{""operation"":""OP-TFX-002"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-09T07:00:00+00:00"",""ended_at"":""2026-07-09T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-002-B,,"{""operation"":""OP-TFX-002"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-09T07:30:00+00:00"",""ended_at"":""2026-07-09T15:30:00+00:00"",""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
operation,OP-TFX-003,,"{""work_order"":""OF-TFX-26073"",""name"":""Production lot OF-TFX-26073"",""started_at"":""2026-07-10T07:00:00+00:00"",""ended_at"":null,""is_blocking"":false}"
mes_task,TASK-TFX-003-A,,"{""operation"":""OP-TFX-003"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_MALAXEUR"",""user"":""USR_MARIAMA"",""started_at"":""2026-07-10T07:00:00+00:00"",""ended_at"":""2026-07-10T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-003-B,,"{""operation"":""OP-TFX-003"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""IN_PROGRESS"",""machine"":""MAC_MALAXEUR"",""user"":""USR_MARIAMA"",""started_at"":""2026-07-10T07:30:00+00:00"",""ended_at"":null,""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
operation,OP-TFX-004,,"{""work_order"":""OF-TFX-26074"",""name"":""Production lot OF-TFX-26074"",""started_at"":""2026-07-11T07:00:00+00:00"",""ended_at"":null,""is_blocking"":false}"
mes_task,TASK-TFX-004-A,,"{""operation"":""OP-TFX-004"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-11T07:00:00+00:00"",""ended_at"":""2026-07-11T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-004-B,,"{""operation"":""OP-TFX-004"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""IN_PROGRESS"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-11T07:30:00+00:00"",""ended_at"":null,""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
operation,OP-TFX-005,,"{""work_order"":""OF-TFX-26075"",""name"":""Production lot OF-TFX-26075"",""started_at"":""2026-07-12T07:00:00+00:00"",""ended_at"":null,""is_blocking"":false}"
mes_task,TASK-TFX-005-A,,"{""operation"":""OP-TFX-005"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-12T07:00:00+00:00"",""ended_at"":""2026-07-12T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-005-B,,"{""operation"":""OP-TFX-005"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""IN_PROGRESS"",""machine"":""MAC_CONCASSEUR"",""user"":""USR_MAMADOU"",""started_at"":""2026-07-12T07:30:00+00:00"",""ended_at"":null,""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
operation,OP-TFX-006,,"{""work_order"":""OF-TFX-26076"",""name"":""Production lot OF-TFX-26076"",""started_at"":""2026-07-13T07:00:00+00:00"",""ended_at"":null,""is_blocking"":false}"
mes_task,TASK-TFX-006-A,,"{""operation"":""OP-TFX-006"",""name"":""Contrôle et préparation du poste"",""type"":""SETUP"",""status"":""DONE"",""machine"":""MAC_MALAXEUR"",""user"":""USR_MARIAMA"",""started_at"":""2026-07-13T07:00:00+00:00"",""ended_at"":""2026-07-13T07:30:00+00:00"",""expected_duration"":30,""description"":""Vérification sécurité, niveaux et paramètres avant lancement.""}"
mes_task,TASK-TFX-006-B,,"{""operation"":""OP-TFX-006"",""name"":""Exécution et suivi de la production"",""type"":""AUTOMATIC"",""status"":""IN_PROGRESS"",""machine"":""MAC_MALAXEUR"",""user"":""USR_MARIAMA"",""started_at"":""2026-07-13T07:30:00+00:00"",""ended_at"":null,""expected_duration"":480,""description"":""Suivi du tonnage, des arrêts et de la qualité pendant la fabrication.""}"
session,SES-TFX-001,,"{""reference"":""SES-TFX-001"",""work_order"":""OF-TFX-26071"",""workplace"":""WP_CONCASSAGE"",""machine"":""MAC_CONCASSEUR"",""status"":""CLOSED"",""started_at"":""2026-07-08T07:00:00+00:00"",""ended_at"":""2026-07-08T15:30:00+00:00"",""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260708"",""operator"":""USR_MAMADOU""}"
session,SES-TFX-002,,"{""reference"":""SES-TFX-002"",""work_order"":""OF-TFX-26072"",""workplace"":""WP_CONCASSAGE"",""machine"":""MAC_CONCASSEUR"",""status"":""CLOSED"",""started_at"":""2026-07-09T07:00:00+00:00"",""ended_at"":""2026-07-09T15:30:00+00:00"",""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260709"",""operator"":""USR_MAMADOU""}"
session,SES-TFX-003,,"{""reference"":""SES-TFX-003"",""work_order"":""OF-TFX-26073"",""workplace"":""WP_BETON"",""machine"":""MAC_MALAXEUR"",""status"":""OPEN"",""started_at"":""2026-07-10T07:00:00+00:00"",""ended_at"":null,""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260710"",""operator"":""USR_MARIAMA""}"
session,SES-TFX-004,,"{""reference"":""SES-TFX-004"",""work_order"":""OF-TFX-26074"",""workplace"":""WP_CONCASSAGE"",""machine"":""MAC_CONCASSEUR"",""status"":""OPEN"",""started_at"":""2026-07-11T07:00:00+00:00"",""ended_at"":null,""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260711"",""operator"":""USR_MAMADOU""}"
session,SES-TFX-005,,"{""reference"":""SES-TFX-005"",""work_order"":""OF-TFX-26075"",""workplace"":""WP_CONCASSAGE"",""machine"":""MAC_CONCASSEUR"",""status"":""OPEN"",""started_at"":""2026-07-12T07:00:00+00:00"",""ended_at"":null,""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260712"",""operator"":""USR_MAMADOU""}"
session,SES-TFX-006,,"{""reference"":""SES-TFX-006"",""work_order"":""OF-TFX-26076"",""workplace"":""WP_BETON"",""machine"":""MAC_MALAXEUR"",""status"":""OPEN"",""started_at"":""2026-07-13T07:00:00+00:00"",""ended_at"":null,""shift_code"":""JOUR"",""batch_number"":""LOT-TFX-260713"",""operator"":""USR_MARIAMA""}"
performance,PERF_ENG_CHARGEUSE_01_2026-07-08,,"{""machine"":""ENG_CHARGEUSE_01"",""period_start"":""2026-07-08T00:00:00+00:00"",""period_end"":""2026-07-08T23:59:00+00:00"",""availability"":87.5,""performance"":78.0,""quality"":96.0,""oee"":65.5,""total_pieces"":420,""scrap_pieces"":5,""fuel_consumption"":42.0,""engine_on_hours"":7.2,""utilization_pct"":84.5,""reliability_pct"":89.5,""line_name"":""Ligne Exploitation""}"
performance,PERF_ENG_CHARGEUSE_01_2026-07-09,,"{""machine"":""ENG_CHARGEUSE_01"",""period_start"":""2026-07-09T00:00:00+00:00"",""period_end"":""2026-07-09T23:59:00+00:00"",""availability"":88.5,""performance"":80.0,""quality"":96.7,""oee"":68.5,""total_pieces"":427,""scrap_pieces"":6,""fuel_consumption"":42.0,""engine_on_hours"":7.5,""utilization_pct"":85.5,""reliability_pct"":90.5,""line_name"":""Ligne Exploitation""}"
performance,PERF_ENG_CHARGEUSE_01_2026-07-10,,"{""machine"":""ENG_CHARGEUSE_01"",""period_start"":""2026-07-10T00:00:00+00:00"",""period_end"":""2026-07-10T23:59:00+00:00"",""availability"":89.5,""performance"":82.0,""quality"":97.4,""oee"":71.5,""total_pieces"":434,""scrap_pieces"":7,""fuel_consumption"":42.0,""engine_on_hours"":7.8,""utilization_pct"":86.5,""reliability_pct"":91.5,""line_name"":""Ligne Exploitation""}"
performance,PERF_ENG_CHARGEUSE_01_2026-07-11,,"{""machine"":""ENG_CHARGEUSE_01"",""period_start"":""2026-07-11T00:00:00+00:00"",""period_end"":""2026-07-11T23:59:00+00:00"",""availability"":90.5,""performance"":84.0,""quality"":98.1,""oee"":74.6,""total_pieces"":441,""scrap_pieces"":8,""fuel_consumption"":42.0,""engine_on_hours"":7.2,""utilization_pct"":87.5,""reliability_pct"":92.5,""line_name"":""Ligne Exploitation""}"
performance,PERF_ENG_CHARGEUSE_01_2026-07-12,,"{""machine"":""ENG_CHARGEUSE_01"",""period_start"":""2026-07-12T00:00:00+00:00"",""period_end"":""2026-07-12T23:59:00+00:00"",""availability"":91.5,""performance"":86.0,""quality"":96.0,""oee"":75.5,""total_pieces"":448,""scrap_pieces"":9,""fuel_consumption"":42.0,""engine_on_hours"":7.5,""utilization_pct"":88.5,""reliability_pct"":93.5,""line_name"":""Ligne Exploitation""}"
